,id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_end,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
209,VEmNgxY90VOc5HNprOiXlw,REGULAR,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2100.0,False
210,jARXdEubmCxBtN55PYVd7w,REGULAR,1700.0,100.0,True,1700.0,100.0,True,1700.0,100.0,True,1700.0,100.0,True,1700.0,100.0,True,1100.0,100.0,True,1100.0,100.0,True
211,DkuCJwpeiGhW41EEcOKweg,REGULAR,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1200.0,2300.0,False,1200.0,0.0,False,700.0,0.0,False,700.0,2200.0,False
212,n5c-AeQYPJxIpjiuOKjxOg,REGULAR,,,,,,,1500.0,2200.0,False,1500.0,2200.0,False,1500.0,200.0,True,2100.0,200.0,True,,,
214,OxobKchEqJU2BZi6qc0QBA,REGULAR,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1200.0,100.0,True
215,r2CqNYEZyVT3Ay9DRYeF9w,REGULAR,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1200.0,0.0,False,1100.0,0.0,False,1100.0,2100.0,False
220,mmJ2ixPN8NIkEEIM4oHd8g,REGULAR,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1500.0,100.0,True,1500.0,100.0,True,1130.0,100.0,True,1130.0,2300.0,False
222,JdVlUaXM9aZQ68tjgonszw,REGULAR,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2100.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2100.0,False
223,vCaaXCYqpBsxJy2kBR67IA,REGULAR,,,,1600.0,30.0,True,1600.0,30.0,True,1600.0,200.0,True,1600.0,200.0,True,1630.0,200.0,True,,,
224,fUXHR5XBFa4qV_NvPXpuAA,REGULAR,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1100.0,0.0,False,1100.0,0.0,False,1100.0,2200.0,False
225,sXLcNEfvFvIe1-HPAhRh8w,REGULAR,1500.0,2000.0,False,1500.0,2100.0,False,1500.0,2100.0,False,1130.0,2100.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2000.0,False
226,TIdF3xCwr--XdC1QEUxaJA,REGULAR,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,1600.0,100.0,True,,,
228,2OPwmUgtjb3nhClb7IEOxA,REGULAR,,,,1130.0,2000.0,False,1130.0,2000.0,False,1130.0,2000.0,False,1130.0,2100.0,False,1130.0,2100.0,False,,,
230,0fbJdAPMHQBUGl4aNsg7-Q,REGULAR,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2300.0,False,1130.0,2300.0,False,1130.0,2200.0,False
231,VGU8Cy97So-jQCtWLKO6bA,REGULAR,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,100.0,True,1600.0,130.0,True,1030.0,130.0,True,1030.0,2200.0,False
232,JEbgVwRUsQ3arKPhGXQj7Q,REGULAR,,,,,,,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2200.0,False,,,
233,J4UsOYwRprbJXIVB_NcldQ,REGULAR,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1200.0,2200.0,False,1200.0,2100.0,False
235,ZQNf8895P81vjCfyipjhYw,REGULAR,,,,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,,,
