id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_start,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
gOjh7RMDZDn4h-QmwnAseA,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1130,2300,False,0930,2300,False,0930,2200,False
IJ2MnBlIvib0aU2hbmr0hg,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1030,2200,False,1030,2200,False
_VEQpntwiMLUbNPLvxvwzA,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2230,False,1600,2230,False,1600,2100,False
RDZJY7ls8-2hNkkXFIJg4g,REGULAR,1700,2100,False,1700,2100,False,1700,2100,False,1700,2100,False,1700,2130,False,1700,2200,False,1700,2100,False
LGNpVs8cRBllNVml8wI0Vg,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2130,False
l45r09qD9iIkQn9KoKKfuw,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2300,False,1130,2300,False,1100,2300,False,1100,2200,False
jIxhHWqxKd5ZWBIEmsFxWQ,REGULAR,1700,2300,False,1700,2300,False,1700,2300,False,1700,0000,False,1200,0000,False,1700,0000,False,1700,2300,False
MKIngNGj0_cBKV4leGuCjw,REGULAR,1500,2200,False,1200,2200,False,1200,2200,False,1200,0000,False,1200,0000,False,1100,0000,False,1100,0000,False
bZhUufqdpg5qxsDKpIRv5A,REGULAR,1700,2200,False,1700,2200,False,1700,2200,False,1700,2300,False,1700,2300,False,1700,2300,False,1700,2200,False
q5dHr7QnzUooZ2vSUHyVvg,REGULAR,1200,2300,False,1200,2300,False,1200,2300,False,1200,2300,False,1145,0000,False,1200,0000,False,1200,2300,False
dXPmYs9b3xyv9Zqa0z8adA,REGULAR,1700,2130,False,1700,2130,False,1700,2130,False,1700,2130,False,1700,2130,False,1700,2130,False,1700,2130,False
8a_P_6kYaIM2HdOEd0xzmg,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True
D2pEDsQBUO5GIgyT8oKUxg,REGULAR,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,1700,2300,False,1700,2300,False,1700,2200,False
fmw_0vST7GjdibObHWLOuQ,REGULAR,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True
nqKL5PbJbwwoCK_Xon31kA,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2300,False,1130,2300,False,1130,2200,False
09pqlAR4TSjQXNTiB4cXjw,REGULAR,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1200,0200,True,1600,0200,True
I07zWZ_JGqVAp3ZPxIpDYg,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1130,2200,False,1130,2200,False
xVJv__UZMNfW1O4oGUrvWw,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2230,False,1600,2230,False,1600,2200,False
twXlQB0UMBrAVas53QN9BA,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2300,False,1600,2300,False,1600,2200,False
geqpfK2WO6uHJCDpNofURA,REGULAR,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False,1700,2200,False
mnFhrH1Fi5GoSuV-5gVpnA,REGULAR,1700,2300,False,1700,2300,False,1700,2300,False,1700,2300,False,1700,2300,False,1700,2300,False,1700,2300,False
oz882XuZCxajKo64Opgq_Q,REGULAR,1200,2000,False,1200,2000,False,1200,2000,False,1200,2000,False,1200,2000,False,1200,2000,False,1200,2000,False
smiGOZuyboXfc8LyC2jXpg,REGULAR,1100,2300,False,1100,2300,False,1100,2300,False,1100,2300,False,1100,2300,False,0900,2300,False,0900,2300,False
qJxjhLQjLcYnpcqqDHS3Jg,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2300,False,1600,2300,False,1100,2300,False,1100,2200,False
HsKe3Y-Glm5xPGDwMBE1mg,REGULAR,,,,1700,2100,False,1700,2100,False,1700,2100,False,1700,2200,False,1700,2200,False,,,
47IRTOlC4kjAf1aFKLZDdA,REGULAR,1130,2200,False,1130,2200,False,1130,2200,False,1130,2200,False,1130,2300,False,1130,2300,False,1130,2000,False
7bq2nCYCPuvI5o2GCFRAeg,REGULAR,1600,0100,True,1600,0100,True,1600,0100,True,1600,0100,True,1200,0100,True,1200,0100,True,1200,0100,True
9uYa1bl3ajS0R9bRraNkbw,REGULAR,0700,1600,False,0700,1600,False,0700,1600,False,0700,1600,False,0700,1600,False,0700,1600,False,0700,1600,False
2v0-gBcXethuNFT6rMGiRw,REGULAR,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,1130,0200,True,0900,0200,True,0900,0200,True
-S_m_GBqkGEjABeO0FaxzA,REGULAR,,,,,,,1100,2300,False,1100,2300,False,1100,0100,True,1000,0100,True,0900,2200,False
MkjhW1dVbl3e0AxBL0oXKw,REGULAR,1700,0100,True,1700,0100,True,1700,0100,True,1700,0100,True,1700,0200,True,1000,0200,True,1000,0100,True
